actual,city,contract_type,disagreement_bucket,eligibility_class,event_date,event_key,lead_time_bucket,market_bucket,market_prob,market_ticker,model_prob,partition,probability_bucket,profit_loss,stake,station_bucket,strategy_version,trade_id,uncertainty_bucket
0.0,Minneapolis,threshold,20pp+,UNCLASSIFIED,2026-08-05,Minneapolis|2026-08-05|high,0-1d,<0.20,0.02,KXHIGHTMIN-26AUG04-T83,0.70884,development,70-79%,-10.0,10.0,Minneapolis|station_verified=True,v3.0,24,6F+
0.0,Dallas,range,20pp+,UNCLASSIFIED,2026-08-04,Dallas|2026-08-04|low,0-1d,<0.20,0.04,KXLOWTDAL-26AUG03-B73.5,0.9486,development,90-100%,-10.0,10.0,Dallas|station_verified=True,v3.0,25,6F+
0.0,Dallas,threshold,20pp+,UNCLASSIFIED,2026-08-04,Dallas|2026-08-04|low,0-1d,<0.20,0.01,KXLOWTDAL-26AUG03-T76,0.617911,development,60-69%,-10.0,10.0,Dallas|station_verified=True,v3.0,26,6F+
1.0,Dallas,range,20pp+,UNCLASSIFIED,2026-08-05,Dallas|2026-08-05|low,0-1d,0.60-0.79,0.64,KXLOWTDAL-26AUG04-B77.5,0.9356,development,90-100%,5.625,10.0,Dallas|station_verified=True,v3.0,27,6F+
0.0,Dallas,range,20pp+,UNCLASSIFIED,2026-08-05,Dallas|2026-08-05|low,0-1d,0.40-0.59,0.57,KXLOWTDAL-26AUG04-B79.5,0.9338,development,90-100%,-10.0,10.0,Dallas|station_verified=True,v3.0,28,6F+
0.0,Dallas,threshold,10-19pp,UNCLASSIFIED,2026-08-05,Dallas|2026-08-05|low,0-1d,<0.20,0.03,KXLOWTDAL-26AUG04-T73,0.158655,development,10-19%,-10.0,10.0,Dallas|station_verified=True,v3.0,29,6F+
0.0,Dallas,threshold,20pp+,UNCLASSIFIED,2026-08-05,Dallas|2026-08-05|low,0-1d,<0.20,0.07,KXLOWTDAL-26AUG04-T80,0.433816,development,40-49%,-10.0,10.0,Dallas|station_verified=True,v3.0,30,6F+
1.0,Denver,range,10-19pp,UNCLASSIFIED,2026-08-04,Denver|2026-08-04|low,0-1d,0.80-1.00,0.85,KXLOWTDEN-26AUG03-B66.5,0.9762,development,90-100%,1.764706,10.0,Denver|station_verified=True,v3.0,31,6F+
1.0,Denver,range,20pp+,UNCLASSIFIED,2026-08-04,Denver|2026-08-04|low,0-1d,0.60-0.79,0.72,KXLOWTDEN-26AUG03-B68.5,0.986,development,90-100%,3.888889,10.0,Denver|station_verified=True,v3.0,32,6F+
1.0,Denver,range,20pp+,UNCLASSIFIED,2026-08-04,Denver|2026-08-04|low,0-1d,0.60-0.79,0.7,KXLOWTDEN-26AUG03-B70.5,0.9926,development,90-100%,4.285714,10.0,Denver|station_verified=True,v3.0,33,6F+
0.0,Denver,threshold,20pp+,UNCLASSIFIED,2026-08-04,Denver|2026-08-04|low,0-1d,<0.20,0.06,KXLOWTDEN-26AUG03-T64,0.845344,development,80-89%,-10.0,10.0,Denver|station_verified=True,v3.0,34,6F+
1.0,Denver,range,10-19pp,UNCLASSIFIED,2026-08-05,Denver|2026-08-05|low,0-1d,0.60-0.79,0.77,KXLOWTDEN-26AUG04-B56.5,0.9637,development,90-100%,2.987013,10.0,Denver|station_verified=True,v3.0,35,6F+
1.0,Denver,range,20pp+,UNCLASSIFIED,2026-08-05,Denver|2026-08-05|low,0-1d,0.60-0.79,0.74,KXLOWTDEN-26AUG04-B58.5,0.9762,development,90-100%,3.513514,10.0,Denver|station_verified=True,v3.0,36,6F+
1.0,Denver,range,10-19pp,UNCLASSIFIED,2026-08-05,Denver|2026-08-05|low,0-1d,0.80-1.00,0.84,KXLOWTDEN-26AUG04-B60.5,0.986,development,90-100%,1.904762,10.0,Denver|station_verified=True,v3.0,37,6F+
1.0,Denver,threshold,20pp+,UNCLASSIFIED,2026-08-05,Denver|2026-08-05|low,0-1d,0.20-0.39,0.22,KXLOWTDEN-26AUG04-T56,0.845344,development,80-89%,35.454545,10.0,Denver|station_verified=True,v3.0,38,6F+
0.0,Houston,range,20pp+,UNCLASSIFIED,2026-08-04,Houston|2026-08-04|low,0-1d,<0.20,0.04,KXLOWTHOU-26AUG03-B77.5,0.9337,development,90-100%,-10.0,10.0,Houston|station_verified=True,v3.0,39,6F+
0.0,Houston,threshold,10-19pp,UNCLASSIFIED,2026-08-04,Houston|2026-08-04|low,0-1d,<0.20,0.01,KXLOWTHOU-26AUG03-T71,0.128537,development,10-19%,-10.0,10.0,Houston|station_verified=True,v3.0,40,6F+
0.0,Houston,threshold,20pp+,UNCLASSIFIED,2026-08-04,Houston|2026-08-04|low,0-1d,<0.20,0.01,KXLOWTHOU-26AUG03-T78,0.486704,development,40-49%,-10.0,10.0,Houston|station_verified=True,v3.0,41,6F+
1.0,Houston,range,20pp+,UNCLASSIFIED,2026-08-05,Houston|2026-08-05|low,0-1d,0.60-0.79,0.64,KXLOWTHOU-26AUG04-B76.5,0.9336,development,90-100%,5.625,10.0,Houston|station_verified=True,v3.0,42,6F+
0.0,Houston,range,20pp+,UNCLASSIFIED,2026-08-05,Houston|2026-08-05|low,0-1d,0.40-0.59,0.57,KXLOWTHOU-26AUG04-B78.5,0.9368,development,90-100%,-10.0,10.0,Houston|station_verified=True,v3.0,43,6F+
0.0,Houston,threshold,20pp+,UNCLASSIFIED,2026-08-05,Houston|2026-08-05|low,0-1d,<0.20,0.02,KXLOWTHOU-26AUG04-T72,0.22164,development,20-29%,-10.0,10.0,Houston|station_verified=True,v3.0,44,6F+
0.0,Houston,threshold,20pp+,UNCLASSIFIED,2026-08-05,Houston|2026-08-05|low,0-1d,<0.20,0.08,KXLOWTHOU-26AUG04-T79,0.344578,development,30-39%,-10.0,10.0,Houston|station_verified=True,v3.0,45,6F+
0.0,Los Angeles,range,20pp+,UNCLASSIFIED,2026-08-04,Los Angeles|2026-08-04|low,0-1d,<0.20,0.08,KXLOWTLAX-26AUG03-B67.5,0.9395,development,90-100%,-10.0,10.0,Los Angeles|station_verified=True,v3.0,46,6F+
0.0,Los Angeles,threshold,20pp+,UNCLASSIFIED,2026-08-04,Los Angeles|2026-08-04|low,0-1d,<0.20,0.01,KXLOWTLAX-26AUG03-T61,0.257846,development,20-29%,-10.0,10.0,Los Angeles|station_verified=True,v3.0,47,6F+
0.0,Los Angeles,threshold,20pp+,UNCLASSIFIED,2026-08-04,Los Angeles|2026-08-04|low,0-1d,<0.20,0.01,KXLOWTLAX-26AUG03-T68,0.302694,development,30-39%,-10.0,10.0,Los Angeles|station_verified=True,v3.0,48,6F+
1.0,Los Angeles,range,10-19pp,UNCLASSIFIED,2026-08-05,Los Angeles|2026-08-05|low,0-1d,0.80-1.00,0.82,KXLOWTLAX-26AUG04-B65.5,0.9387,development,90-100%,2.195122,10.0,Los Angeles|station_verified=True,v3.0,49,6F+
0.0,Los Angeles,range,20pp+,UNCLASSIFIED,2026-08-05,Los Angeles|2026-08-05|low,0-1d,0.20-0.39,0.32,KXLOWTLAX-26AUG04-B67.5,0.9492,development,90-100%,-10.0,10.0,Los Angeles|station_verified=True,v3.0,50,6F+
0.0,Los Angeles,threshold,20pp+,UNCLASSIFIED,2026-08-05,Los Angeles|2026-08-05|low,0-1d,<0.20,0.01,KXLOWTLAX-26AUG04-T63,0.493351,development,40-49%,-10.0,10.0,Los Angeles|station_verified=True,v3.0,51,6F+
0.0,New York City,range,20pp+,UNCLASSIFIED,2026-08-04,New York City|2026-08-04|low,0-1d,0.20-0.39,0.38,KXLOWTNYC-26AUG03-B70.5,0.9563,development,90-100%,-10.0,10.0,New York City|station_verified=True,v3.0,52,6F+
1.0,New York City,range,20pp+,UNCLASSIFIED,2026-08-04,New York City|2026-08-04|low,0-1d,0.60-0.79,0.63,KXLOWTNYC-26AUG03-B72.5,0.9695,development,90-100%,5.873016,10.0,New York City|station_verified=True,v3.0,53,6F+
0.0,New York City,threshold,20pp+,UNCLASSIFIED,2026-08-04,New York City|2026-08-04|low,0-1d,<0.20,0.01,KXLOWTNYC-26AUG03-T68,0.691462,development,60-69%,-10.0,10.0,New York City|station_verified=True,v3.0,54,6F+
1.0,New York City,range,10-19pp,UNCLASSIFIED,2026-08-05,New York City|2026-08-05|low,0-1d,0.60-0.79,0.75,KXLOWTNYC-26AUG04-B64.5,0.9336,development,90-100%,3.333333,10.0,New York City|station_verified=True,v3.0,55,6F+
0.0,New York City,range,20pp+,UNCLASSIFIED,2026-08-05,New York City|2026-08-05|low,0-1d,0.60-0.79,0.65,KXLOWTNYC-26AUG04-B66.5,0.9379,development,90-100%,-10.0,10.0,New York City|station_verified=True,v3.0,56,6F+
1.0,New York City,range,10-19pp,UNCLASSIFIED,2026-08-05,New York City|2026-08-05|low,0-1d,0.60-0.79,0.76,KXLOWTNYC-26AUG04-B68.5,0.948,development,90-100%,3.157895,10.0,New York City|station_verified=True,v3.0,57,6F+
0.0,New York City,threshold,20pp+,UNCLASSIFIED,2026-08-05,New York City|2026-08-05|low,0-1d,<0.20,0.01,KXLOWTNYC-26AUG04-T62,0.350736,development,30-39%,-10.0,10.0,New York City|station_verified=True,v3.0,58,6F+
0.0,New York City,threshold,10-19pp,UNCLASSIFIED,2026-08-05,New York City|2026-08-05|low,0-1d,<0.20,0.05,KXLOWTNYC-26AUG04-T69,0.216716,development,20-29%,-10.0,10.0,New York City|station_verified=True,v3.0,59,6F+
0.0,Oklahoma City,range,20pp+,UNCLASSIFIED,2026-08-04,Oklahoma City|2026-08-04|low,0-1d,<0.20,0.01,KXLOWTOKC-26AUG03-B65.5,0.9789,development,90-100%,-10.0,10.0,Oklahoma City|station_verified=True,v3.0,60,6F+
0.0,Oklahoma City,threshold,20pp+,UNCLASSIFIED,2026-08-04,Oklahoma City|2026-08-04|low,0-1d,<0.20,0.01,KXLOWTOKC-26AUG03-T70,0.77836,development,70-79%,-10.0,10.0,Oklahoma City|station_verified=True,v3.0,61,6F+
1.0,Oklahoma City,range,20pp+,UNCLASSIFIED,2026-08-05,Oklahoma City|2026-08-05|low,0-1d,0.60-0.79,0.74,KXLOWTOKC-26AUG04-B68.5,0.9762,development,90-100%,3.513514,10.0,Oklahoma City|station_verified=True,v3.0,62,6F+
1.0,Oklahoma City,range,20pp+,UNCLASSIFIED,2026-08-05,Oklahoma City|2026-08-05|low,0-1d,0.60-0.79,0.71,KXLOWTOKC-26AUG04-B70.5,0.9637,development,90-100%,4.084507,10.0,Oklahoma City|station_verified=True,v3.0,63,6F+
0.0,Oklahoma City,range,10-19pp,UNCLASSIFIED,2026-08-05,Oklahoma City|2026-08-05|low,0-1d,0.80-1.00,0.85,KXLOWTOKC-26AUG04-B72.5,0.9505,development,90-100%,-10.0,10.0,Oklahoma City|station_verified=True,v3.0,64,6F+
0.0,Oklahoma City,threshold,20pp+,UNCLASSIFIED,2026-08-05,Oklahoma City|2026-08-05|low,0-1d,<0.20,0.1,KXLOWTOKC-26AUG04-T73,0.752802,development,70-79%,-10.0,10.0,Oklahoma City|station_verified=True,v3.0,65,6F+
0.0,Denver,threshold,10-19pp,UNCLASSIFIED,2026-08-05,Denver|2026-08-05|high,0-1d,0.80-1.00,0.87,KXHIGHDEN-26AUG04-T75,0.9734,development,90-100%,-10.0,10.0,Denver|station_verified=True,v3.0,66,6F+
0.0,Dallas,threshold,20pp+,UNCLASSIFIED,2026-08-05,Dallas|2026-08-05|high,0-1d,<0.20,0.09,KXHIGHTDAL-26AUG04-T100,0.320369,development,30-39%,-10.0,10.0,Dallas|station_verified=True,v3.0,67,6F+
1.0,Miami,range,10-19pp,UNCLASSIFIED,2026-08-06,Miami|2026-08-06|high,2-3d,0.80-1.00,0.81,KXHIGHMIA-26AUG05-B86.5,0.9543,development,90-100%,2.345679,10.0,Miami|station_verified=True,v3.0,68,6F+
1.0,Miami,range,20pp+,UNCLASSIFIED,2026-08-06,Miami|2026-08-06|high,2-3d,0.60-0.79,0.61,KXHIGHMIA-26AUG05-B88.5,0.9424,development,90-100%,6.393443,10.0,Miami|station_verified=True,v3.0,69,6F+
0.0,Miami,range,10-19pp,UNCLASSIFIED,2026-08-06,Miami|2026-08-06|high,2-3d,0.60-0.79,0.77,KXHIGHMIA-26AUG05-B90.5,0.9349,development,90-100%,-10.0,10.0,Miami|station_verified=True,v3.0,70,6F+
0.0,Miami,threshold,20pp+,UNCLASSIFIED,2026-08-06,Miami|2026-08-06|high,2-3d,<0.20,0.02,KXHIGHMIA-26AUG05-T93,0.350736,development,30-39%,-10.0,10.0,Miami|station_verified=True,v3.0,71,6F+
0.0,Dallas,range,20pp+,UNCLASSIFIED,2026-08-06,Dallas|2026-08-06|high,2-3d,0.40-0.59,0.59,KXHIGHTDAL-26AUG05-B101.5,0.9368,development,90-100%,-10.0,10.0,Dallas|station_verified=True,v3.0,72,6F+
1.0,Dallas,range,20pp+,UNCLASSIFIED,2026-08-06,Dallas|2026-08-06|high,2-3d,0.40-0.59,0.55,KXHIGHTDAL-26AUG05-B99.5,0.9462,development,90-100%,8.181818,10.0,Dallas|station_verified=True,v3.0,73,6F+
0.0,Dallas,threshold,20pp+,UNCLASSIFIED,2026-08-06,Dallas|2026-08-06|high,2-3d,<0.20,0.02,KXHIGHTDAL-26AUG05-T106,0.332386,development,30-39%,-10.0,10.0,Dallas|station_verified=True,v3.0,74,6F+
0.0,Dallas,threshold,20pp+,UNCLASSIFIED,2026-08-06,Dallas|2026-08-06|high,2-3d,<0.20,0.03,KXHIGHTDAL-26AUG05-T99,0.231678,development,20-29%,-10.0,10.0,Dallas|station_verified=True,v3.0,75,6F+
0.0,Minneapolis,range,20pp+,UNCLASSIFIED,2026-08-06,Minneapolis|2026-08-06|high,2-3d,0.60-0.79,0.7,KXHIGHTMIN-26AUG05-B79.5,0.9856,development,90-100%,-10.0,10.0,Minneapolis|station_verified=True,v3.0,76,6F+
1.0,Minneapolis,range,20pp+,UNCLASSIFIED,2026-08-06,Minneapolis|2026-08-06|high,2-3d,0.60-0.79,0.6,KXHIGHTMIN-26AUG05-B81.5,0.9756,development,90-100%,6.666667,10.0,Minneapolis|station_verified=True,v3.0,77,6F+
0.0,Minneapolis,threshold,20pp+,UNCLASSIFIED,2026-08-06,Minneapolis|2026-08-06|high,2-3d,0.20-0.39,0.22,KXHIGHTMIN-26AUG05-T82,0.908789,development,90-100%,-10.0,10.0,Minneapolis|station_verified=True,v3.0,78,6F+
1.0,Dallas,range,20pp+,UNCLASSIFIED,2026-08-06,Dallas|2026-08-06|low,2-3d,0.60-0.79,0.63,KXLOWTDAL-26AUG05-B79.5,0.9391,development,90-100%,5.873016,10.0,Dallas|station_verified=True,v3.0,79,6F+
0.0,Dallas,range,20pp+,UNCLASSIFIED,2026-08-06,Dallas|2026-08-06|low,2-3d,0.60-0.79,0.62,KXLOWTDAL-26AUG05-B81.5,0.9338,development,90-100%,-10.0,10.0,Dallas|station_verified=True,v3.0,80,6F+
0.0,Dallas,threshold,20pp+,UNCLASSIFIED,2026-08-06,Dallas|2026-08-06|low,2-3d,<0.20,0.11,KXLOWTDAL-26AUG05-T82,0.5,development,50-59%,-10.0,10.0,Dallas|station_verified=True,v3.0,81,6F+
1.0,Denver,range,20pp+,UNCLASSIFIED,2026-08-06,Denver|2026-08-06|low,2-3d,0.60-0.79,0.7,KXLOWTDEN-26AUG05-B53.5,0.9563,development,90-100%,4.285714,10.0,Denver|station_verified=True,v3.0,82,6F+
1.0,Denver,range,10-19pp,UNCLASSIFIED,2026-08-06,Denver|2026-08-06|low,2-3d,0.80-1.00,0.82,KXLOWTDEN-26AUG05-B55.5,0.944,development,90-100%,2.195122,10.0,Denver|station_verified=True,v3.0,83,6F+
0.0,Denver,threshold,20pp+,UNCLASSIFIED,2026-08-06,Denver|2026-08-06|low,2-3d,0.40-0.59,0.58,KXLOWTDEN-26AUG05-T53,0.8413,development,80-89%,-10.0,10.0,Denver|station_verified=True,v3.0,84,6F+
0.0,Denver,threshold,20pp+,UNCLASSIFIED,2026-08-06,Denver|2026-08-06|low,2-3d,<0.20,0.03,KXLOWTDEN-26AUG05-T60,0.433816,development,40-49%,-10.0,10.0,Denver|station_verified=True,v3.0,85,6F+
1.0,Houston,range,20pp+,UNCLASSIFIED,2026-08-06,Houston|2026-08-06|low,2-3d,0.60-0.79,0.61,KXLOWTHOU-26AUG05-B77.5,0.9339,development,90-100%,6.393443,10.0,Houston|station_verified=True,v3.0,86,6F+
0.0,Houston,range,20pp+,UNCLASSIFIED,2026-08-06,Houston|2026-08-06|low,2-3d,0.60-0.79,0.62,KXLOWTHOU-26AUG05-B79.5,0.9354,development,90-100%,-10.0,10.0,Houston|station_verified=True,v3.0,87,6F+
0.0,Houston,threshold,10-19pp,UNCLASSIFIED,2026-08-06,Houston|2026-08-06|low,2-3d,<0.20,0.03,KXLOWTHOU-26AUG05-T73,0.197663,development,10-19%,-10.0,10.0,Houston|station_verified=True,v3.0,88,6F+
0.0,Houston,threshold,20pp+,UNCLASSIFIED,2026-08-06,Houston|2026-08-06|low,2-3d,<0.20,0.08,KXLOWTHOU-26AUG05-T80,0.375748,development,30-39%,-10.0,10.0,Houston|station_verified=True,v3.0,89,6F+
0.0,Los Angeles,threshold,10-19pp,UNCLASSIFIED,2026-08-05,Los Angeles|2026-08-05|low,0-1d,<0.20,0.01,KXLOWTLAX-26AUG04-T70,0.125072,development,10-19%,-10.0,10.0,Los Angeles|station_verified=True,v3.0,90,6F+
1.0,Los Angeles,range,10-19pp,UNCLASSIFIED,2026-08-06,Los Angeles|2026-08-06|low,2-3d,0.60-0.79,0.78,KXLOWTLAX-26AUG05-B65.5,0.9336,development,90-100%,2.820513,10.0,Los Angeles|station_verified=True,v3.0,91,6F+
0.0,Los Angeles,range,20pp+,UNCLASSIFIED,2026-08-06,Los Angeles|2026-08-06|low,2-3d,0.40-0.59,0.43,KXLOWTLAX-26AUG05-B67.5,0.9379,development,90-100%,-10.0,10.0,Los Angeles|station_verified=True,v3.0,92,6F+
0.0,Los Angeles,threshold,20pp+,UNCLASSIFIED,2026-08-06,Los Angeles|2026-08-06|low,2-3d,<0.20,0.02,KXLOWTLAX-26AUG05-T61,0.23679,development,20-29%,-10.0,10.0,Los Angeles|station_verified=True,v3.0,93,6F+
0.0,Los Angeles,threshold,20pp+,UNCLASSIFIED,2026-08-06,Los Angeles|2026-08-06|low,2-3d,<0.20,0.12,KXLOWTLAX-26AUG05-T68,0.326355,development,30-39%,-10.0,10.0,Los Angeles|station_verified=True,v3.0,94,6F+
1.0,New York City,range,20pp+,UNCLASSIFIED,2026-08-06,New York City|2026-08-06|low,2-3d,0.60-0.79,0.71,KXLOWTNYC-26AUG05-B67.5,0.959,development,90-100%,4.084507,10.0,New York City|station_verified=True,v3.0,95,6F+
0.0,New York City,range,20pp+,UNCLASSIFIED,2026-08-06,New York City|2026-08-06|low,2-3d,0.60-0.79,0.62,KXLOWTNYC-26AUG05-B69.5,0.9462,development,90-100%,-10.0,10.0,New York City|station_verified=True,v3.0,96,6F+
0.0,New York City,threshold,20pp+,UNCLASSIFIED,2026-08-06,New York City|2026-08-06|low,2-3d,<0.20,0.14,KXLOWTNYC-26AUG05-T70,0.71453,development,70-79%,-10.0,10.0,New York City|station_verified=True,v3.0,97,6F+
0.0,Denver,range,20pp+,UNCLASSIFIED,2026-08-06,Denver|2026-08-06|high,2-3d,0.60-0.79,0.79,KXHIGHDEN-26AUG05-B83.5,0.9953,development,90-100%,-10.0,10.0,Denver|station_verified=True,v3.0,98,6F+
1.0,Denver,range,20pp+,UNCLASSIFIED,2026-08-06,Denver|2026-08-06|high,2-3d,0.60-0.79,0.68,KXHIGHDEN-26AUG05-B85.5,0.9904,development,90-100%,4.705882,10.0,Denver|station_verified=True,v3.0,99,6F+
1.0,Denver,range,10-19pp,UNCLASSIFIED,2026-08-06,Denver|2026-08-06|high,2-3d,0.80-1.00,0.8,KXHIGHDEN-26AUG05-B87.5,0.9824,development,90-100%,2.5,10.0,Denver|station_verified=True,v3.0,100,6F+
0.0,Denver,threshold,20pp+,UNCLASSIFIED,2026-08-06,Denver|2026-08-06|high,2-3d,<0.20,0.03,KXHIGHDEN-26AUG05-T90,0.888134,development,80-89%,-10.0,10.0,Denver|station_verified=True,v3.0,101,6F+
0.0,Miami,threshold,10-19pp,UNCLASSIFIED,2026-08-06,Miami|2026-08-06|high,2-3d,<0.20,0.02,KXHIGHMIA-26AUG05-T86,0.132068,development,10-19%,-10.0,10.0,Miami|station_verified=True,v3.0,102,6F+
1.0,Oklahoma City,range,20pp+,UNCLASSIFIED,2026-08-06,Oklahoma City|2026-08-06|low,2-3d,0.60-0.79,0.72,KXLOWTOKC-26AUG05-B72.5,0.955,development,90-100%,3.888889,10.0,Oklahoma City|station_verified=True,v3.0,103,6F+
0.0,Oklahoma City,range,20pp+,UNCLASSIFIED,2026-08-06,Oklahoma City|2026-08-06|low,2-3d,0.60-0.79,0.63,KXLOWTOKC-26AUG05-B74.5,0.9429,development,90-100%,-10.0,10.0,Oklahoma City|station_verified=True,v3.0,104,6F+
0.0,Oklahoma City,threshold,20pp+,UNCLASSIFIED,2026-08-06,Oklahoma City|2026-08-06|low,2-3d,<0.20,0.05,KXLOWTOKC-26AUG05-T77,0.553035,development,50-59%,-10.0,10.0,Oklahoma City|station_verified=True,v3.0,105,6F+
0.0,Dallas,threshold,20pp+,UNCLASSIFIED,2026-08-06,Dallas|2026-08-06|low,2-3d,<0.20,0.03,KXLOWTDAL-26AUG05-T75,0.231678,development,20-29%,-10.0,10.0,Dallas|station_verified=True,v3.0,106,6F+
